Name,Followers
Tony Lopez,"23,100,000"
ILYA BORZOV,"23,100,000"
Netflix Latinoamérica,"23,100,000"
El Pana Arabe,"23,000,000"
mingweirocks,"22,900,000"
Ryan Reynolds,"22,900,000"
argenby,"22,800,000"
Kelly y David,"22,800,000"
노아,"22,800,000"
Lauren Godwin,"22,600,000"
Marrkadams,"22,500,000"
Cole LaBrant,"22,500,000"
Lance Stewart,"22,500,000"
창하CHANGHA,"22,500,000"
Iben M.A.,"22,500,000"
Daniela Giraldo,"22,500,000"
Nicolle Figueroa,"22,400,000"
WhinderssonNunes,"22,400,000"
Rafael Santos,"22,300,000"
LIGHTS ARE OFF,"22,300,000"
Foodies,"22,200,000"
Skai Jackson 🥰,"22,100,000"
Gemelas Abello,"22,100,000"
Yanyan De Jesus,"22,100,000"
Charlie Puth,"22,100,000"
Amanda,"22,000,000"
Gemelas Ortega,"22,000,000"
Gianluca Vacchi,"21,900,000"
Sophia Talamas 💖,"21,900,000"
Zoe LaVerne,"21,900,000"
Pk,"21,900,000"
NICOLE AMADO,"21,700,000"
ROMINA,"21,800,000"
Yeri MUA,"21,800,000"
Fede Vigevani,"21,700,000"
Lucas Rangel,"21,700,000"
Lynja,"21,700,000"
Coffee Family,"21,600,000"
KeniaOs,"21,600,000"
Seany,"21,500,000"
Lala,"21,500,000"
Maria Clara Garcia,"21,400,000"
Sambel Anggun Josss,"21,400,000"
Brody Wellmaker,"21,400,000"
enhypen,"21,500,000"
Midnight Mood,"21,300,000"
Franco Escamilla,"21,300,000"
nobody sausage,"21,300,000"
eugenioderbezoficial,"21,300,000"
Alí Izquierdo,"21,300,000"
Beauty khan,"21,300,000"
NBA,"21,300,000"
Hermanas JM,"21,300,000"
GKAY,"21,200,000"
🎭 Deiry Vargas 🎭,"21,200,000"
J Balvin,"21,100,000"
Nguyễn Lan Chi,"21,100,000"
Cahyaniryn,"21,100,000"
Карина,"21,100,000"
Spice King,"21,100,000"
온오빠 On Oppa,"21,100,000"
Urban Theory,"21,000,000"
German Garmendia,"20,900,000"
TEN YUJIN,"20,900,000"
mks,"20,800,000"
Sonrixs,"20,800,000"
Jay Prehistoric Pets,"20,800,000"
@Jordi.koalitic,"20,800,000"
The Hype House,"20,700,000"
ONDREAZ,"20,700,000"
Sofi Orantes Hesse,"20,600,000"
Veronika,"20,600,000"
☘️Trà Đặng☘️,"20,600,000"
Soysuco,"20,600,000"
Prii Moraa,"20,500,000"
DorisJocelyn🦩,--
Duke Depp,"20,400,000"
Ricky Limon,"20,300,000"
Libardo Isaza,"20,300,000"
Nicki Minaj,"20,300,000"
BeastEater,"20,200,000"
ANAR DREAMS 💎,"20,200,000"
Lily Garcia,"20,200,000"
Tooturnttony,"20,200,000"
Samuel Lopez,"20,100,000"
Bruna Barbie,"20,100,000"
FIFA,"20,100,000"
X & Ivy,"20,000,000"
Cat Sonya,"20,000,000"
LK,"20,000,000"
Mario Aguilar,"20,000,000"
JuanDeMontreal,"20,000,000"
MONA,"19,900,000"
ayoubfc10,"19,900,000"
Shilpa Shetty,"19,900,000"
Ness,"19,800,000"
+a,"19,800,000"
Adam W,"19,700,000"
Andrea Brillantes,"19,700,000"
FallonTonight,"19,700,000"
Kanwalay🎶,"19,700,000"
Andrea Cuadros,"19,700,000"
J-COP,"19,700,000"
yoeslan,"19,700,000"
Nic Kaufmann,"19,600,000"
Tayler Holder,"19,600,000"
Pakoyaso,"19,600,000"
Alex Stemplewski,"19,500,000"
Salice Rose,"19,500,000"
SandTagious,"19,500,000"
Ruivinha de Marte,"19,400,000"
KingChristian,"19,400,000"
Raides,"19,400,000"
Kira Simurina lips baby🦋,"19,300,000"
Cheryl Porter | Vocal Coach,"19,300,000"
Юлия Гаврилина 🤍,"19,200,000"
Twins Style,"19,200,000"
Daniellecohn,"19,200,000"
Olivia Rodrigo,"19,200,000"
Prime Video,"19,200,000"
Stephany Leal,"19,100,000"
sssniperwolf,"19,100,000"
neffatibrothers,"19,100,000"
tyshon,"19,100,000"
sebastianyatra,"19,100,000"
Vini Jr.,"19,100,000"
Leidys Sotolongo,"19,000,000"
MisterMainer,"19,000,000"
Nursema Altuntas,"19,000,000"
madison,"19,000,000"
jules,"19,000,000"
MR ZEO,"19,000,000"
FailArmy,"19,000,000"
✨ Linh Barbie ✨,"18,900,000"
Twin Melody,"18,900,000"
isis valverde,"18,900,000"
Karen Barrera,"18,900,000"
AMYYWOAHH,"18,900,000"
Meredith Duxbury,"18,800,000"
Goub,"18,800,000"
KevleX 🦉,"18,800,000"
Çılgın Dondurmacı,"18,800,000"
Miley Cyrus,"18,700,000"
Austin Sprinz,"18,700,000"
btwitslucky,"18,700,000"
Andcarli,"18,700,000"
OMAHI,"18,800,000"
FC Bayern,"18,700,000"
~YEŞİM,"18,700,000"
Princess Sachiko,"18,600,000"
LGNDFRVR,"18,600,000"
Atta Halilintar,"18,600,000"
Ali_Hyderabadi ❤️,"18,600,000"
Kim and North,"18,600,000"
𝑨𝒎𝒂𝒓𝒂 𝒒𝒖𝒆 …,"18,500,000"
Маргарита Дьяченк�…,"18,500,000"
Yurielkys Ojeda 🕷,"18,500,000"
Letwins,--
