Channel,Subs
Biel Campos,7.04M
Funketom,7.03M
Receitas Da Cris,7M
Dayan Siebra,6.98M
Flakes Power,6.94M
É TIPO ISSO,6.89M
Um Herói do Coração,6.89M
Jon Vlogs,6.88M
Ryan Oliveira,6.86M
Fran para meninas,6.85M
FLA TV,6.85M
Família Sophia e Liz,6.84M
Projota Oficial,6.82M
Cifra Club,6.82M
Menino Prendado,6.8M
Lucas Lucco,6.76M
Nicolas Gomes,6.74M
VenomExtreme,6.74M
PortugaPC,6.74M
MakePOD,6.74M
Ingredy Games,6.72M
Gregory Kessey,6.72M
Hep Gezen,6.7M
MoriMura,6.7M
Cellbit,6.69M
O Primo Rico,6.68M
Alok,6.64M
Jully Molinna,6.64M
1Kilo Oficial,6.64M
No Matinho,6.61M
CanalKids HD,6.59M
Figuritalo,6.59M
Canal do LUCAS VASCONCELOS,6.58M
Renato Cariani,6.57M
IShow,6.57M
Jair Bolsonaro,6.56M
Gabriel Monteiro,6.53M
Biel GEN TV,6.53M
CidadeAlertaRecord,6.52M
CLEPTON,6.5M
Viros,6.47M
Boom,6.45M
BelotoPlays,6.44M
Pequenos Príncipes,6.44M
Lucão,6.43M
Eu você e nós,6.42M
Walace Freerunner,6.41M
Marulho,6.41M
Kevinho,6.4M
GelliClash,6.39M
Russo,6.35M
Thai e Biel,6.34M
Jão Bastos,6.33M
Bruno & Marrone,6.31M
Thiago Ventura,6.3M
Brincando com Yasmin Verissimo,6.26M
Thiago Reis,6.25M
Melim,6.22M
Deni Medeiros,6.21M
Carol Borba,6.2M
Skorpion Gamer,6.2M
Lucas MotoVlog,6.19M
Familia Parafuso Solto,6.13M
viniccius13,6.11M
jvnq,6.11M
Brenner Mariano,6.11M
Papile,6.11M
Cartoon Network Brasil,6.1M
MrBeast Brasil,6.09M
Canal Rodrigo Mota TV,6.09M
TV ZYN,6.09M
5 Alguma Coisa,6.08M
Vitor Orth,6.05M
Família Maria Clara e JP,6.05M
30PRAUM,6.02M
malena010102,6.02M
Bia Lobo,6M
Os Barões da Pisadinha Oficial,6M
WooHoo PT,5.99M
Dr. Fernando Lemos - Planeta Intes…,5.98M
Richard Rasmussen,5.98M
Operação Cinema,5.97M
Tex HS,5.97M
Bento e Totó,5.97M
Dinah Moraes,5.96M
Todah Music Oficial,5.96M
Lucas Lira,5.95M
Carol & Vitoria,5.94M
Wiris Viana,5.9M
Vovô Raul Gil Oficial,5.9M
Voice Makers,5.89M
LuCr4zy,5.88M
