Channel,Subs
Fernando Rocha,292K
Solange Silva,292K
Gifs Sound,292K
Zoldex,291K
Victoria Paper,291K
Masha e o Urso EU,291K
Satoshi Stacker,289K
Bernardo Bacalhau,289K
Relaxar,289K
Mariza,287K
Salgadopk,286K
Goal Island,286K
OS PRIMOS,285K
Lisandro Cuxi,285K
Cabanaandre,284K
Nininho Vaz Maia,284K
Lia e Hugo,284K
Dino Ferreira,283K
Daizer,282K
Os Incríveis Shorts,281K
Mundo Bita Portugal,281K
Santuário de Fátima,280K
Best 4 Kids TV,279K
Maluco YT,279K
Padre Duarte Lara,277K
Inês Rochinha,274K
Canal 11,274K
Ferp,273K
Sofia Barbosa,271K
Manuel Torneiro,271K
Isabela Mascarenhas,270K
Kaysha,270K
Cunamata,268K
Europe Information,267K
Cardoso,267K
D4rant,266K
DICAS NATURAIS DA VÊ,266K
Receitas do Paraíso,264K
Calema,263K
Portugaiando !,262K
CAD in black,261K
Miguel Faro,261K
FootballTv,260K
Шаман Раху,260K
Gloomy Animations,259K
Mota JR,258K
Angeliana Khiyami,258K
Bruno Mota,255K
Paulo Sousa,255K
Random,254K
RuiOrlandoMusic,253K
Música De Deus,253K
Dougzach,252K
Darlan Space,251K
b2jf,250K
André Oliveira Fitness,249K
SENTIMENTOS E EMOÇÕES,249K
Torres14x,248K
Catarina Filipe,247K
Mr. Worldball,247K
Bispo2725,245K
Miguel Sequeira,245K
Top Reggae,243K
Mais Dramas Turcos,242K
Gacha Emika,242K
Tiaguitos,242K
Male Mentality,240K
EU SOU O QUE SOU,240K
LisboKate,239K
Diogo Bataguas,238K
MissMushrooms,237K
ScumbagNetwork,237K
Cartoon Network Portugal,236K
D4rkframe 2.0,236K
Sporting Clube de Portugal,234K
Hozho,233K
Observador,230K
chentric,230K
Lamego Alvelos,230K
Preto Show,229K
Lidl Portugal,229K
Mafalda Sampaio,229K
Helena Coelho,229K
Tiago Ramos,227K
António Raminhos,226K
paisrealproducoes,226K
Portuguese With Leo,226K
NioBloGames,225K
Fernando Rodrigues 50,225K
Irisloveunicorns,225K
um cara não muito COZINHEIRO,222K
Samudra Pro,222K
Sparking,221K
MastiksoulTV,221K
Tony Carreira,221K
Magia e Tarot,221K
M.P.Street,220K
SkinOvelha,219K
Acro Videos,219K
68 Game Bài,219K
Rurikhan,218K
Barry Inglaterra,218K
Alegre Robo,218K
WAZE,218K
Fracionado,216K
M O N S T A,216K
AJUNIOR,216K
Pérola,215K
É OS DRAGÕES!,215K
Valete Canal,214K
Fenoninho,213K
Garefcraft,213K
EL ROCK,213K
TxoBoy Deezy,212K
꧁ Bokutoh ꧂,212K
JSacadura,212K
RFM,211K
Dário Guerreiro,211K
Afro Digital,210K
Sofia Star,210K
Isabella Campos,208K
Mauro & Bianca,208K
Teresa Activa,207K
Crypto Tips,207K
Ana Dias,206K
Razão Automóvel,206K
Shorty Aep,206K
Arménio Rodrigues,204K
Amor Lógica da Vingança - Aşk M…,204K
FC Porto,203K
Techno Unboxing,203K
Watasy Wahyo,203K
Gospel Melhores ♪,203K
PORTAL  DESPERTAR,202K
CarlitaPortugal,202K
ZoaWar,201K
Maria Shek,200K
Leandro Rodrigues,200K
T-Rex,200K
Maratonando,199K
Gol Roti,199K
RedOne Records,198K
Peace and Love,198K
João Justo Pires,198K
childrenvideos,197K
BLUEYES,197K
global plus,196K
Nurb,195K
WonderTuga News,195K
Super Kids Network Português - de…,194K
ShutDowN,193K
Tiago Nacarato,193K
FLYPITOS,193K
Lyric MusiCat,193K
Sr Caldas,192K
IGOR IGOREVICH LIVE,192K
LuciandroJr,192K
Thiago Steffens,191K
K-Music,191K
Divine White Light,191K
Alice Trewinnard,190K
LIMO Recording Studio,190K
Tiago Paiva,190K
AMES836,189K
Tiago Spartan Beast,189K
PIEDADyRODRIGO,187K
Blaya,187K
Bruno Carvalho,187K
Smoffy,187K
Jimmy P,186K
Disney Magic Toys,186K
කිරි සිහිනයට…,186K
Confeiteira Renata,186K
Arganaça,185K
Playtek Tv,185K
Clips do Tiagovski,184K
GONÇALO BAIXINHO DJ-MANKEY,183K
Maria Silva,182K
Pedro Teixeira Da Mota,182K
Mickael Carreira,181K
Fatos interessantes de todo o mundo,181K
zejiM,180K
Carolina Deslandes,180K
TheHike,180K
MrTrends,180K
Hip Hop Sou Eu,179K
Bárbara Corby,179K
Smirnova Capital,179K
Super Casal Xou,179K
Dotorado Pro,178K
Netflix Portugal,178K
ProfJam6,177K
HISTORIAS DE FE CATÓLICA,177K
Dale Porco,177K
vivadisco,176K
Carlos Coutinho Vilhena,176K
еДА тв,175K
Daniel,174K
Cartoon Transformation ?,174K
Inês Ribeiro,172K
MrVinylObsessive,172K
Pedro Lourenço,172K
Espiritismo Vargas,172K
Seja Criativo . VN,172K
Glória Dias,170K
Adri da Silva,170K
Bong Eats Bangla,170K
Sweet Drama Cabin,170K
Male Escape,170K
Música Romântica,169K
NATURAL BIRTH,168K
Tomás Silva,168K
AnaJJG4ever,167K
SambaFanPT,166K
MÁS KI ÁS CLANFUZ,165K
Wilson Semilio,165K
ZK MUSIC,165K
Fire Music - Música Academia,165K
Tayo O Pequeno Autocarro - Tayo Po…,164K
Pathy RJ-Xibli,163K
FreeMMOStation,163K
PVP Cat,163K
Sons D'África Portugal,163K
SMEHODOZA,163K
Suavi,163K
sport tv,162K
Mil e Uma Noites,162K
imperfecthus,161K
Ivandro,161K
Marble YT,161K
Quim Graça,160K
Tripey,160K
Mary Henriques,159K
Ben Pedrosa,159K
Noticias de HOY TVI,159K
ПРИЗРАЧНЫЙ АВТОБУС,159K
SCP: Crônicas,159K
Superbad.,158K
Gilmario Vemba,158K
Super Duper Story PT,157K
RelaxeTube,157K
Portugal Diário,156K
Condessa Anasta,156K
Yuri Francês,155K
Karetus,155K
CHEGA TV,155K
LogoutPT,155K
Puro Êxtase,154K
NotYourAverage_NBA,154K
Foxy Draws,153K
TheDisneyChannelPT,153K
La Dolce Rita,153K
ItzAndreOfficial®,153K
ToddlersNTiarasTapes,152K
Zorip - Nursery Rhymes,152K
Henrique Reacts,151K
FC Cunha,150K
Suits101,150K
Jonboss TV,149K
Joana Gentil,149K
BL love B,148K
PhoenixRDC,148K
Ana Moura,147K
Denis Viatico Tarot & Oráculos,147K
Ani Summary,147K
Immigrate With Ammy,147K
Os Ferrões,146K
Canal Noubay,146K
Gabriel Ferreira,145K
Loony JOHNSON,144K
Maya ASMR,144K
CarOnlineTV,144K
Inês Mocho,143K
Baraka Games,142K
Dji Tafinha,142K
Max em Português,142K
Ancient Gameplays,142K
ALCY,141K
André Badalo,141K
Mega Hits,141K
Renascença,141K
Futbol Emotion PT,141K
Cleide Mendes,141K
DiaMond Plays,141K
Liliana Filipa,141K
seymour200,140K
Just,140K
Lapins PT,140K
My Vibe Music,140K
MARIANABOSSY,140K
Being LUCA,139K
La Mejor Estrategia Criptomonedas,139K
Ruiplay,139K
KizombaZ TV,138K
ORIGINAL KAPPA,138K
Dream Boyz,138K
NaoQueresNada,137K
CrixRonnieOfficial,137K
One Last Ride,137K
Mundo Dos Poemas,137K
Mega DO Portuguese,137K
Salmangamer1m,137K
i.M,137K
Posso te mostrar Portugal?,137K
LXMUSIC,137K
BiaMK,136K
Diogo Sena,136K
Marcelo  Tarot Espiritual Love,136K
T4rget,136K
Coala Maneiro,136K
Coreteks,136K
Takeh,136K
TWIN ideas,136K
Dazzi,135K
Jennifer Dias,135K
Garimpo Brasil,135K
Canal Sérgio Tavares,135K
LUZIA SOUZA VIDA LOW CARB,135K
Tuga na Cozinha,135K
Os Amiguinhos Musica Educativa e C…,135K
Cláudio Santos,134K
Don Gula O Da Vila,134K
Patrícia Alves,134K
Como Faço,134K
auto-doc.pt,134K
DON G Força Suprema,133K
Alpha Bem,133K
Mooji Mala Music,133K
Turbo Team Portuguese,133K
RÚBIA BETÂNIA,132K
Devine5g,132K
Giorace,132K
Nelson Lourenço,132K
Animal Monkey Rio,132K
godlovesyoubrother,131K
Flamenguista em Portugal,131K
Slow J,131K
LATIN PRINCE,131K
Rúben Branco,130K
Andreia Torres,130K
Ohmagab,130K
Adri Barbeiro,130K
Travel Tube,130K
Ricardo Lino,130K
经典大剧,130K
Olivia Ortiz,129K
Universal Pictures Portugal,129K
A. soares,129K
Guilherme Cabral,129K
lilwhuda,129K
Bárbara Tinoco,129K
nordlys ASMR,129K
João Jonas,127K
DAZN Portugal,127K
Planeta do Amor,127K
Conexão Rio/Braga,127K
