Name,Followers
Laudya Cynthia Bella,"39,751,526"
Nancy Ajram,"39,603,608"
Anushka Sen,"39,586,447"
Antonela Roccuzzo,"39,462,745"
Tiger Shroff,"39,417,968"
Jenna Ortega,"39,182,530"
Gisella Anastasia,"39,112,687"
Disney,"38,873,573"
KIM LOAIZA ?,"38,678,774"
SportsCenter,"38,551,162"
Simone Mendes,"38,541,087"
H&M,"38,415,033"
Erling Braut Haaland,"38,390,075"
“REAL HASTA LA MUERTE”,"38,387,526"
DJ KHALED,"38,367,474"
BMW,"38,298,202"
Madhuri Dixit,"38,242,535"
Mercedes-Benz,"38,236,707"
Luna Maya,"38,123,397"
Madison Beer,"37,891,168"
raisa6690,"37,799,976"
Becky G,"37,794,958"
Marvel Studios,"37,602,598"
Amitabh Bachchan,"37,440,042"
Netflix Brasil,"37,254,303"
Pubity,"37,244,867"
Veveta,"36,713,864"
Paolla Oliveira,"36,696,952"
Barack Obama,"36,572,430"
Хабиб Нурмагомедов,"36,516,301"
Shay Mitchell,"36,515,112"
Olivia Rodrigo,"36,514,601"
Lewis Hamilton,"36,322,942"
NATTI NATASHA,"36,112,851"
Addison Rae,"36,094,459"
Sarwendah29,"35,790,521"
RICIS?‍♀️,"35,681,199"
Rohit Sharma,"35,583,141"
Robert Lewandowski,"35,509,635"
Nick Jonas,"35,379,781"
Lamborghini,"35,368,617"
Luan Santana,"35,325,648"
Sonam A Kapoor,"35,314,894"
Ciara,"35,311,266"
Atta Halilintar (PAPATA),"35,160,664"
KARTIK AARYAN,"34,958,772"
이민호 leeminho,"34,938,968"
Sofia Vergara,"34,500,669"
adidas Originals,"34,420,055"
Juanpa Zurita,"34,373,447"
Guru Randhawa,"34,202,699"
Danna Paola,"34,194,733"
DR. SHAQUILLE O'NEAL Ed.D.,"34,155,394"
Luka Modric,"34,147,713"
adidas Football,"34,095,431"
Aurelie Hermansyah Atta,"33,984,531"
KIARA,"33,955,734"
Ashanty Ash,"33,670,672"
Luisillo El Pillo,"33,650,519"
Prada,"33,476,983"
Myriam Fares,"33,418,254"
